Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
AAPL 2 170927,Bond,APPLE INC.,AAPL 2 09/17/27,Information Technology,Information Technology,Information Technology,Information Technology,No Region,No Country
AAPL 2.85 230223,Bond,APPLE INC.,AAPL 2.85 02/23/23,Information Technology,Information Technology,Information Technology,Information Technology,North America,US
AAPL 3 200627,Bond,APPLE INC.,AAPL 3 06/20/27,Information Technology,Information Technology,Information Technology,Information Technology,North America,US
ABBV 2.125 171128,Bond,ABBVIE INC,ABBV 2 1/8 11/17/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABESM 2.375 270927 S,Bond,ABERTIS INFRAESTRUCTURAS SA,ABESM 2 3/8 09/27/27,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Western Europe,ES
ABEST 17 A S,Bond,No Issuer,ABEST 17 A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ABIBB 0.8 200423 S,Bond,AnheuserBusch InBev,ABIBB 0.8 04/20/23,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,BE
ABIBB 1.125 010727 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 1 1/8 07/01/27,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,BE
ABIBB 1.15 220127 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 1.15 01/22/27,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,BE
ABIBB 1.5 180430 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 1 1/2 04/18/30,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,No Region,No Country
ABIBB 2 170328 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 2 03/17/28,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,No Region,No Country
ABNAMR 0.5 30/07/2016,Bond,ABN AMRO,ABNAMR 0.5 30/07/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNAMR 1 19/07/2016,Bond,ABN AMRO,ABNAMR 1 19/07/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNAMR ZC 22/06/2016,Bond,ABN AMRO,ABNAMR ZC 22/06/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNAMR ZC 30/07/2016,Bond,ABN AMRO,ABNAMR ZC 30/07/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNANV 0.25 031221 S,Bond,ABN AMRO Bk NV,ABNANV 0 1/4 12/03/21,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 0.625 310522 S,Bond,ABN AMRO Bk NV,ABNANV 0 5/8 05/31/22,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 0.875 150124 S,Bond,ABN AMRO Bk NV,ABNANV 0 7/8 01/15/24,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 0.875 220425 S,Bond,ABN AMRO Bk NV,ABNANV 0 7/8 04/22/25,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 1 160425 S,Bond,ABN AMRO Bk NV,ABNANV 1 04/16/25,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 2.125 261120 S,Bond,ABN AMRO Bk NV,ABNANV 2 1/8 11/26/20,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 4.125 280322 S,Bond,No Issuer,ABNANV 4 1/8 03/28/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABS CPR FLT,Bond,No Issuer,ABS CPR FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS CPR FXD,Bond,No Issuer,ABS CPR FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS FWD FLT,Bond,No Issuer,ABS FWD FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS FWD FXD,Bond,No Issuer,ABS FWD FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS LAST FLT,Bond,No Issuer,ABS LAST FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS LAST FXD,Bond,No Issuer,ABS LAST FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS PSA FLT,Bond,No Issuer,ABS PSA FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS PSA FXD,Bond,No Issuer,ABS PSA FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ACAFP 0.375 211025 S,Bond,CR AGRICOLE SA,ACAFP 0 3/8 10/21/25,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 0.75 051223 S,Bond,CR AGRICOLE SA,ACAFP 0 3/4 12/05/23,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 0.875 190122 S,Bond,Cr Agricole SA,ACAFP 0 7/8 01/19/22,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 1.375 030527 S,Bond,Cr Agricole SA,ACAFP 1 3/8 05/03/27,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 1.75 050329 S,Bond,Cr Agricole SA,ACAFP 1 3/4 03/05/29,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 2.375 200524 S,Bond,Cr Agricole SA,ACAFP 2 3/8 05/20/24,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 2.5 290829 S,Bond,CR AGRICOLE SA,ACAFP 2 1/2 08/29/29,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP VAR 270948 S,Bond,CREDIT AGRICOLE ASSRNCES,ACAFP 4 3/4 09/27/48,Financials,Financials,Financials,Financials,No Region,No Country
ACAFP VAR 290349,Bond,CR AGRICOLE SA,ACAFP 8.2 03/29/49,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP VAR 291049 S,Bond,CR AGRICOLE SA,ACAFP 7 7/8 10/29/49,Financials,Financials,Financials,Financials,Western Europe,FR
ACEIM 0 280925 S,Bond,ACEA SPA,ACEIM 0 09/28/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ACEIM 0.25 280730 S,Bond,ACEA SPA,ACEIM 0 1/4 07/28/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ACEIM 3.875 240131 S,Bond,ACEA SPA,ACEIM 3 7/8 01/24/31,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ACGB 1.75 211120 S,Bond,AUSTRALIA,ACGB 1 3/4 11/21/20,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 210424 S,Bond,AUSTRALIA,ACGB 2 3/4 04/21/24,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 210635 S,Bond,AUSTRALIA,ACGB 2 3/4 06/21/35,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 211019 S,Bond,AUSTRALIA,ACGB 2 3/4 10/21/19,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 211127 S,Bond,AUSTRALIA,ACGB 2 3/4 11/21/27,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 3.25 210425 S,Bond,AUSTRALIA,ACGB 3 1/4 04/21/25,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 3.25 210429 S,Bond,AUSTRALIA,ACGB 3 1/4 04/21/29,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 3.25 211018 S,Bond,AUSTRALIA,ACGB 3 1/4 10/21/18,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.25 210426 S,Bond,AUSTRALIA,ACGB 4 1/4 04/21/26,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.25 210717 S,Bond,AUSTRALIA,ACGB 4 1/4 07/21/17,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.5 150420 S,Bond,AUSTRALIA,ACGB 4 1/2 04/15/20,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.75 210427 S,Bond,AUSTRALIA,ACGB 4 3/4 04/21/27,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 5.25 150319 S,Bond,AUSTRALIA,ACGB 5 1/4 03/15/19,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 5.5 210118 S,Bond,AUSTRALIA,ACGB 5 1/2 01/21/18,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 5.5 210423 S,Bond,AUSTRALIA,ACGB 5 1/2 04/21/23,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 5.75 150521 S,Bond,AUSTRALIA,ACGB 5 3/4 05/15/21,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 5.75 150722 S,Bond,AUSTRALIA,ACGB 5 3/4 07/15/22,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 6 150217 S,Bond,AUSTRALIA,ACGB 6 02/15/17,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGBET 1.25 210222,Bond,AUSTRALIA,ACGBET 1 1/4 02/21/22,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACOSSL 0.0 080720,Bond,No Issuer,ACOSSL ECP 0 07/08/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ACSSCE 1.875 200426 S,Bond,ACS SERVICIOS COMUNICAC,ACSSCE 1 7/8 04/20/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ACTB ZC 030616,Bond,AUSTRALIA,ACTB 0 06/03/16,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACTB ZC 260216,Bond,AUSTRALIA,ACTB 0 02/26/16,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACTB ZC 260816,Bond,AUSTRALIA,ACTB 0 08/26/16,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ADPFP 2.75 050628 S,Bond,AEROPORTS DE PARIS,ADPFP 2 3/4 06/05/28,Financials,Financials,Financials,Financials,No Region,No Country
ADRIT 1.625 020229 S,Bond,AEROPORTI DI ROMA SPA,ADRIT 1 5/8 02/02/29,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
AFDB FRN 8/14,Bond,AFRICAN DEVELOPMENT BANK,AFDB -- FRN 2009-4.8.14,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
AGBKCH 0.0 080920,Bond,No Issuer,AGBKCH HKCD 0 09/08/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Asia,HK
AGROK 9.875% 5/19,Bond,AGROKOR,AGROK -- 9.87% 2012-1.5.19,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Emerging Europe,HR
AIFP 1.25 130628 S,Bond,AIR LIQUIDE FIN,AIFP 1 1/4 06/13/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AIFP 1.25 130628 S SINKING,Bond,AIR LIQUIDE FIN,AIFP 1 1/4 06/13/28 Sinking,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AIRFP 1.375 130531 S,Bond,AIRBUS GROUP FIN BV,AIRFP 1 3/8 05/13/31,Industrials,Industrials,Industrials,Industrials,No Region,No Country
AIRFP 2.125 291029 S,Bond,AIRBUS GROUP FIN BV,AIRFP 2 1/8 10/29/29,Industrials,Industrials,Industrials,Industrials,No Region,No Country
ALLRNV 0.375 100630 S,Bond,ALLIANDER NV,ALLRNV 0 3/8 06/10/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ALLRNV 0.875 220426 S,Bond,ALLIANDER NV,ALLRNV 0 7/8 04/22/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ALLRNV 0.875 240632 S,Bond,ALLIANDER NV,ALLRNV 0 7/8 06/24/32,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ALLRNV 2.625 090927 S,Bond,ALLIANDER NV,ALLRNV 2 5/8 09/09/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ALVGR 1.375 210431 S,Bond,ALLIANZ FINANCE II B.V.,ALVGR 1 3/8 04/21/31,Financials,Financials,Financials,Financials,No Region,No Country
ALVGR 3 130328 S,Bond,ALLIANZ FINANCE II B.V.,ALVGR 3 03/13/28,Financials,Financials,Financials,Financials,No Region,No Country
ALVGR VAR 060747 S,Bond,ALLIANZ SE,ALVGR 3.099 07/06/47,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AMXLMM 2.125 100328,Bond,AMERICA MOVIL S A BURSATIL CAP VARI,AMXLMM 2 1/8 03/10/28,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,No Region,No Country
ARRFP 1.875 060131 S,Bond,SOCIETE AUTOROUTES PARIS RHIN RHONE,ARRFP 1 7/8 01/06/31,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ASML 1.625 280527 S,Bond,ASML HLDG NV,ASML 1 5/8 05/28/27,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,No Region,No Country
ASSGEN 2.124 011030 S,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 2.124 10/01/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ASSGEN 2.429 140731 S,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 2.429 07/14/31,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ASSGEN 5.125 160924 S,Bond,ASSICURAZIONI GENERALI,ASSGEN 5 1/8 09/16/24,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ASSGEN 5.8 060732 S,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 5.8 07/06/32,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ASSGEN VAR 080648 S,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 5 06/08/48,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ASSGEN VAR 100742 S,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 10 1/8 07/10/42,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ASSGEN VAR 200722,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 6.9 07/20/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ASSGEN VAR 271047 S,Bond,ASSICURAZIONI GENERALI S P A,ASSGEN 5 1/2 10/27/47,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AU OTR 10Y,Bond,No Issuer,AU OTR 10Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 12Y,Bond,No Issuer,AU OTR 12Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 15Y,Bond,No Issuer,AU OTR 15Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 1Y,Bond,No Issuer,AU OTR 1Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 20Y,Bond,No Issuer,AU OTR 20Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 2Y,Bond,No Issuer,AU OTR 2Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 30Y,Bond,No Issuer,AU OTR 30Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 3M,Bond,No Issuer,AU OTR 3M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 3Y,Bond,No Issuer,AU OTR 3Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 4Y,Bond,No Issuer,AU OTR 4Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 5Y,Bond,No Issuer,AU OTR 5Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 6Y,Bond,No Issuer,AU OTR 6Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 7Y,Bond,No Issuer,AU OTR 7Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 8Y,Bond,No Issuer,AU OTR 8Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AU OTR 9Y,Bond,No Issuer,AU OTR 9Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
AUSCAP 3.5 170630,Bond,AUSTRALIA,AUSCAP 3 1/2 06/17/30,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
AUSTVB 0% 5/18,Bond,AUSTRIA,AUSTVB -- 0% 2005-9.5.18,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,AT
AXASA 1.125 150528 S,Bond,AXA,AXASA 1 1/8 05/15/28,Financials,Financials,Financials,Financials,No Region,No Country
AXASA VAR 060747 S,Bond,AXA,AXASA 3 3/8 07/06/47,Financials,Financials,Financials,Financials,No Region,No Country
AZN 1.25 120528 S,Bond,ASTRAZENECA PLC,AZN 1 1/4 05/12/28,Utilities,Utilities,Utilities,Utilities,No Region,No Country
B 01/04/2017,Bond,UNITED STATES,B 01/04/2017,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B 03/02/2017,Bond,UNITED STATES,B 03/02/2017,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B 03/12/2016,Bond,UNITED STATES,B 03/12/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B 11/11/2016,Bond,UNITED STATES,B 11/11/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B 25/05/2017,Bond,UNITED STATES,B 25/05/2017,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 081216,Bond,UNITED STATES,B 12/08/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 090616,Bond,UNITED STATES,B 06/09/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 160616,Bond,UNITED STATES,B 06/16/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 171116,Bond,UNITED STATES,B 11/17/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 180816,Bond,UNITED STATES,B 08/18/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 260516,Bond,UNITED STATES,B 05/26/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 270417,Bond,UNITED STATES,B 04/27/17,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 271016,Bond,UNITED STATES,B 10/27/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 280116,Bond,UNITED STATES,B 01/28/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 280716,Bond,UNITED STATES,B 07/28/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 300616,Bond,UNITED STATES,B 06/30/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
B ZC 310316,Bond,UNITED STATES,B 03/31/16,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
BAC 6 151036,Bond,BK OF AMERICA NA,BAC 6 10/15/36,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
BAC FRN 118 211022,Bond,BK OF AMERICA CORP,BAC Float 10/21/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
BACR 2.125 240221 S,Bond,Barclays Bk plc,BACR 2 1/8 02/24/21,Financials,Financials,Financials,Financials,Western Europe,GB
BAKKA 8.25% 2/18,Bond,BAKKAFROST,BAKKA -- 8.25% 2011-15.2.18,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
BASGR 0.875 061031 S,Bond,BASF SE,BASGR 0 7/8 10/06/31,Materials,Materials,Chemicals,Chemicals,No Region,No Country
BATSLN 3.125 060329 S,Bond,B A T INTL FIN P L C,BATSLN 3 1/8 03/06/29,Financials,Financials,Financials,Financials,No Region,No Country
BAYNGR 0.625 151222 S,Bond,BAYER AG,BAYNGR 0 5/8 12/15/22,Materials,Materials,Chemicals,Chemicals,Western Europe,DE
BAYNGR 1.5 260626 S,Bond,BAYER AG,BAYNGR 1 1/2 06/26/26,Materials,Materials,Chemicals,Chemicals,Western Europe,DE
BBVASM 1 210626 S,Bond,BCO BILBAO VIZCAYA ARGENTARIA S A,BBVASM 1 06/21/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
BBVASM 3.375 200927 S,Bond,BCO BILBAO VIZCAYA ARGENTARIA S A,BBVASM 3 3/8 09/20/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
BBVASM 4.375 100424 S,Bond,BBVA BANCOMER S A INSTITUCION DE BC,BBVASM 4 3/8 04/10/24,Financials,Financials,Financials,Financials,Latin America,MX
BBVASM 6.5 100321 S,Bond,BBVA BANCOMER S A INSTITUCION DE BC,BBVASM 6 1/2 03/10/21,Financials,Financials,Financials,Financials,Latin America,MX
BBVASM 6.75 300922 S,Bond,BBVA BANCOMER S A INSTITUCION DE BC,BBVASM 6 3/4 09/30/22,Financials,Financials,Financials,Financials,Latin America,MX
BBVASM FRN 195 290749,Bond,BCO BILBAO VIZCAYA ARGENTARIA S A,BBVASM 0 07/29/49,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
BFCM 0.01 070325 S,Bond,BQE FEDERATIVE DU CR MUTUEL,BFCM 0.01 03/07/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BFCM 0.1 081027 S,Bond,BQE FEDERATIVE DU CR MUTUEL,BFCM 0.1 10/08/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BFCM 0.5 161122 S,Bond,BQE FEDERATIVE DU CR MUTUEL,BFCM 0 1/2 11/16/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BFCM 0.75 080626 S,Bond,BQE FEDERATIVE DU CR MUTUEL,BFCM 0 3/4 06/08/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BFCM 4 221020,Bond,No Issuer,BFCM 4 10/22/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BGB 0.8 220627 A,Bond,KDOM BELGIUM,BGB 0.8 06/22/27,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Western Europe,BE
BGB 0.8 220628 A,Bond,KDOM BELGIUM,BGB 0.8 06/22/28,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Western Europe,BE
BGB 0.9 220629 A,Bond,KDOM BELGIUM,BGB 0.9 06/22/29,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Western Europe,BE
BGB 1 220626 A,Bond,KDOM BELGIUM,BGB 1 06/22/26,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Western Europe,BE
BGGRP 2.25 211129 S,Bond,BG ENERGY CAP PLC,BGGRP 2 1/4 11/21/29,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BHH 0.01 020930 S,Bond,BERLIN HYP AG,BHH 0.01 09/02/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
BHH 0.375 250127 S,Bond,BERLIN HYP AG,BHH 0 3/8 01/25/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
BHP 1.5 290430 S,Bond,BHP BILLITON FIN LTD,BHP 1 1/2 04/29/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BHP 3.25 240927 S,Bond,BHP BILLITON FIN LTD,BHP 3 1/4 09/24/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BKCHIN 0.0 030820,Bond,No Issuer,BKCHIN ECD 0 08/03/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
BKCHN 0% 3/14,Bond,BANK OF CHINA SYDNEY BRANCH,BKCHN -- 0% 2013-24.3.14,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Australia,AU
BKO 0 150618 S,Bond,GERMANY,BKO 0 06/15/18,Government,Government,Government,Government,Western Europe,DE
BKO 0 151217 S,Bond,GERMANY,BKO 0 12/15/17,Government,Government,Government,Government,Western Europe,DE
BKO 0 160318 S,Bond,GERMANY,BKO 0 03/16/18,Government,Government,Government,Government,Western Europe,DE
BKO 0 161216 S,Bond,GERMANY,BKO 0 12/16/16,Government,Government,Government,Government,Western Europe,DE
BKTSM 0.625 061027 S,Bond,BANKINTER S A,BKTSM 0 5/8 10/06/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
BMW 0.625 061023 S,Bond,BAY MOTOREN WERKE AG,BMW 0 5/8 10/06/23,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,NL
BMW 1.5 060229 S,Bond,BAY MOTOREN WERKE AG,BMW 1 1/2 02/06/29,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,NL
BNFP 0.709 031124 S,Bond,DANONE SA,BNFP 0.709 11/03/24,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BNFP 1.208 031128 S,Bond,DANONE SA,BNFP 1.208 11/03/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
