Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
EDF 5.625 210233,Bond,ELECTRICITE DE FRANCE,EDF 5 5/8 02/21/33,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
EDF 6.25 250121,Bond,ELECTRICITE DE FRANCE,EDF 6 1/4 01/25/21,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDPPL 1.71 240128 S,Bond,EDP Fin BV,EDPPL 1.71 01/24/28,Utilities,Utilities,Utilities,Utilities,Western Europe,NL
EDPPL VAR 020881 S,Bond,EDP ENERGIAS DE PORTUGAL SA,EDPPL 1 7/8 08/02/81,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,PT
EDPPL VAR 140382 S,Bond,EDP ENERGIAS DE PORTUGAL SA,EDPPL 1 1/2 03/14/2082,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,PT
EDPPL VAR 200780 S,Bond,EDP ENERGIAS DE PORTUGAL SA,EDPPL 1.7 07/20/80,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,PT
EDPPL VAR 300479 S,Bond,EDP ENERGIAS DE PORTUGAL SA,EDPPL 4.496 04/30/79,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,PT
EIB 0.5 131137,Bond,EURPN INVT BK,EIB 0 1/2 11/13/37,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 1 141142 S,Bond,EURPN INVT BK,EIB 1 11/14/42,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 1.25 131126 S,Bond,EURPN INVT BK,EIB 1 1/4 11/13/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 1.5 151147,Bond,EURPN INVT BK,EIB 1 1/2 11/15/47,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 2.125 130426,Bond,EURPN INVT BK,EIB 2 1/8 04/13/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 2.375 240527,Bond,EURPN INVT BK,EIB 2 3/8 05/24/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 2.5 311022 S,Bond,EURPN INVT BK,EIB 2 1/2 10/31/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 3.3 030228,Bond,EURPN INVT BK,EIB 3.3 02/03/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB 6.25 080621,Bond,No Issuer,EIB 6 1/4 06/08/21,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
EIB STEP 150632 S,Bond,EURPN INVT BK,EIB 1 1/2 06/15/32,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
EIB STEP 151135 S,Bond,EURPN INVT BK,EIB 0.01 11/15/35,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,UNKNOWN_REGION,SNAT
ELIASO 3.25 040428 S,Bond,ELIA SYS OPERATOR SA NV,ELIASO 3 1/4 04/04/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ENBW 1.875 311033 S,Bond,ENBW INTL FIN B V,ENBW 1 7/8 10/31/33,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENBW 4.875 160125,Bond,No Issuer,ENBW 4 7/8 01/16/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENBW 6.125 070739,Bond,No Issuer,ENBW 6 1/8 07/07/39,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENBW VAR 050879 S,Bond,ENBW ENERGIE BADEN WUERTTEMBERG AG,ENBW 1 5/8 08/05/79,Utilities,Utilities,Utilities,Utilities,Western Europe,DE
ENBW VAR 051179 S,Bond,ENBW ENERGIE BADEN WUERTTEMBERG AG,ENBW 1 1/8 11/05/79,Utilities,Utilities,Utilities,Utilities,Western Europe,DE
