Product,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
S&P ASX 300,S&P/ASX 300,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
LYB.US,LyondellBasell Industries NV,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
7267.JP,Honda Motor Co Ltd,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
SAN.ES,Banco Santander SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
UL.NL,Unibail-Rodamco SE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
MSCI TW,MSCI Taiwan Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AIR.FR,Airbus SE,Industrials,Industrials,Industrials,Industrials,Western Europe,FR
DAX 30,DAX 30 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
GE.US,General Electric Co,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
DJ EURO STOXX 600 O&G,STOXX EUROPE 600 OIL & GAS,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ADS.DE,adidas AG,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,DE
AI.FR,Air Liquide SA,Materials,Materials,Chemicals,Specialty Chemicals,Western Europe,FR
TT.US,Trane Technologies PLC,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IE
PSI 20,Portugal Stock Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FTSE JSE TOP 40 SW,FTSE/JSE Shareholder Weighted All Share Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BAYN.DE,Bayer AG,Materials,Materials,Chemicals,Chemicals,Western Europe,DE
OMXS 30,OMX Stockholm 30 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
RNO.FR,Renault SA,Consumer Discretionary,Automobiles & Components,Automobiles & Components,Automobiles & Components,Western Europe,FR
STLA.FR,Stellantis NV,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,NL
MSCI EM MINI,E-mini MSCI Emerging Markets Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
RUSSEL 2000,RUSSELL 2000 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
INTC.US,Intel Corporation,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
IBM.US,INTL BUSINESS MACHINES,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABI.BE,Anheuser-Busch InBev SA/NV,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,BE
S&P BSE SENSEX,S&P BSE SENSEX 30 Indian index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
GREEN BOND EUR A,Green Bond EUR,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
HANG SENG,Hang Seng index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
NVDA.US,NVIDIA Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
FTSE ASE 20,FTSE/Athens Stock Exchange Mid Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GR
NIKKEI 300,Nikkei Stock Index 300 (Nikkei 300),No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
IDI 2003,IDI 2003,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AMS.ES,Amadeus IT Group SA,Information Technology,Software & Services,Software & Services,Software & Services,Western Europe,ES
CRH.IE,CRH PLC,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,Western Europe,IE
BAS.DE,BASF SE,Materials,Materials,Chemicals,Chemicals,Western Europe,DE
IDI 2009,IDI 2009,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ISE NATIONAL 30,Istanbul Stock Exchange National 30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
CSCO.US,CISCO SYSTEMS INC,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
IBOXX E LIQ COR,iBoxx E Liquid Corporates Diversified,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
EURO EQUITY LARGE CAP 2 A,Intl Fund Euro Large Cap 2 A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
SET 50,THAI SET 50 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ORCL.US,Oracle Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
HSBC HOLDINGS PLC NYSE,HSBC HOLDINGS PLC NYSE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
MSCI NTR USD,MSCI World Net Total Return USD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
